pedestrianId simTime groupId-PID5
1 0.4 0
2 0.4 0
3 0.4 0
4 0.4 0
5 0.4 0
6 0.4 0
7 0.4 0
8 0.4 0
9 0.4 0
10 0.4 0
11 0.4 1
12 0.4 1
13 0.4 1
14 0.4 1
15 0.4 1
16 0.4 1
17 0.4 1
18 0.4 1
19 0.4 1
20 0.4 1
21 0.4 1
22 0.4 1
23 0.4 1
24 0.4 1
25 0.4 1
26 0.4 1
27 0.4 1
28 0.4 1
29 0.4 1
30 0.4 1
31 0.4 1
32 0.4 1
33 0.4 1
34 0.4 1
35 0.4 1
36 0.4 1
37 0.4 1
38 0.4 1
39 0.4 1
40 0.4 1
41 0.4 1
42 0.4 1
43 0.4 1
44 0.4 1
45 0.4 1
46 0.4 1
47 0.4 1
48 0.4 1
49 0.4 1
50 0.4 1
9 0.8 0
1 0.9 0
2 0.9 0
4 0.9 0
6 0.9 0
15 0.9 1
21 0.9 1
26 0.9 1
27 0.9 1
29 0.9 1
39 0.9 1
43 0.9 1
44 0.9 1
8 1.0 0
10 1.0 0
12 1.0 1
14 1.0 1
16 1.0 1
20 1.0 1
23 1.0 1
24 1.0 1
25 1.0 1
28 1.0 1
30 1.0 1
31 1.0 1
32 1.0 1
33 1.0 1
34 1.0 1
35 1.0 1
36 1.0 1
37 1.0 1
38 1.0 1
40 1.0 1
42 1.0 1
45 1.0 1
47 1.0 1
48 1.0 1
50 1.0 1
3 1.1 0
5 1.1 0
18 1.1 1
22 1.1 1
41 1.1 1
13 1.2 1
17 1.2 1
19 1.2 1
46 1.2 1
9 1.3 0
11 1.3 1
49 1.3 1
1 1.4 0
6 1.4 0
15 1.4 1
21 1.4 1
26 1.4 1
27 1.4 1
29 1.4 1
39 1.4 1
44 1.4 1
2 1.5 0
4 1.5 0
7 1.5 0
8 1.5 0
10 1.5 0
23 1.5 1
43 1.5 1
47 1.5 1
50 1.5 1
12 1.6 1
14 1.6 1
16 1.6 1
20 1.6 1
24 1.6 1
25 1.6 1
28 1.6 1
30 1.6 1
32 1.6 1
36 1.6 1
37 1.6 1
40 1.6 1
42 1.6 1
48 1.6 1
9 1.7 0
22 1.7 1
31 1.7 1
33 1.7 1
34 1.7 1
35 1.7 1
38 1.7 1
41 1.7 1
45 1.7 1
5 1.8 0
18 1.8 1
29 1.8 1
3 1.9 0
6 1.9 0
15 1.9 1
26 1.9 1
27 1.9 1
44 1.9 1
1 2.0 0
2 2.0 0
4 2.0 0
17 2.0 1
19 2.0 1
21 2.0 1
39 2.0 1
43 2.0 1
46 2.0 1
8 2.1 0
10 2.1 0
13 2.1 1
20 2.1 1
23 2.1 1
47 2.1 1
50 2.1 1
9 2.2 0
12 2.2 1
14 2.2 1
16 2.2 1
24 2.2 1
30 2.2 1
32 2.2 1
36 2.2 1
37 2.2 1
40 2.2 1
49 2.2 1
11 2.3 1
25 2.3 1
26 2.3 1
28 2.3 1
29 2.3 1
31 2.3 1
33 2.3 1
34 2.3 1
35 2.3 1
38 2.3 1
42 2.3 1
45 2.3 1
48 2.3 1
18 2.4 1
22 2.4 1
27 2.4 1
41 2.4 1
44 2.4 1
1 2.5 0
2 2.5 0
4 2.5 0
5 2.5 0
6 2.5 0
15 2.5 1
21 2.5 1
39 2.5 1
3 2.6 0
9 2.6 0
10 2.6 0
23 2.6 1
43 2.6 1
47 2.6 1
50 2.6 1
7 2.7 0
8 2.7 0
20 2.7 1
36 2.7 1
40 2.7 1
12 2.8 1
14 2.8 1
16 2.8 1
17 2.8 1
19 2.8 1
24 2.8 1
26 2.8 1
29 2.8 1
32 2.8 1
37 2.8 1
46 2.8 1
13 2.9 1
25 2.9 1
27 2.9 1
28 2.9 1
30 2.9 1
35 2.9 1
42 2.9 1
44 2.9 1
48 2.9 1
1 3.0 0
2 3.0 0
4 3.0 0
6 3.0 0
15 3.0 1
21 3.0 1
22 3.0 1
31 3.0 1
33 3.0 1
34 3.0 1
38 3.0 1
39 3.0 1
41 3.0 1
45 3.0 1
49 3.0 1
9 3.1 0
18 3.1 1
43 3.1 1
8 3.2 0
10 3.2 0
11 3.2 1
23 3.2 1
47 3.2 1
50 3.2 1
5 3.3 0
20 3.3 1
26 3.3 1
29 3.3 1
36 3.3 1
40 3.3 1
3 3.4 0
12 3.4 1
14 3.4 1
24 3.4 1
27 3.4 1
32 3.4 1
37 3.4 1
44 3.4 1
1 3.5 0
6 3.5 0
9 3.5 0
15 3.5 1
16 3.5 1
21 3.5 1
25 3.5 1
28 3.5 1
30 3.5 1
35 3.5 1
39 3.5 1
42 3.5 1
48 3.5 1
2 3.6 0
4 3.6 0
17 3.6 1
19 3.6 1
31 3.6 1
33 3.6 1
34 3.6 1
38 3.6 1
45 3.6 1
46 3.6 1
10 3.7 0
13 3.7 1
22 3.7 1
29 3.7 1
41 3.7 1
43 3.7 1
50 3.7 1
7 3.8 0
8 3.8 0
18 3.8 1
23 3.8 1
26 3.8 1
47 3.8 1
20 3.9 1
36 3.9 1
40 3.9 1
44 3.9 1
49 3.9 1
5 4.0 0
6 4.0 0
9 4.0 0
12 4.0 1
14 4.0 1
15 4.0 1
24 4.0 1
27 4.0 1
32 4.0 1
37 4.0 1
39 4.0 1
1 4.1 0
2 4.1 0
3 4.1 0
4 4.1 0
11 4.1 1
16 4.1 1
21 4.1 1
25 4.1 1
28 4.1 1
30 4.1 1
42 4.1 1
48 4.1 1
29 4.2 1
35 4.2 1
38 4.2 1
43 4.2 1
8 4.3 0
10 4.3 0
22 4.3 1
23 4.3 1
26 4.3 1
31 4.3 1
33 4.3 1
34 4.3 1
45 4.3 1
47 4.3 1
50 4.3 1
9 4.4 0
17 4.4 1
19 4.4 1
41 4.4 1
44 4.4 1
46 4.4 1
6 4.5 0
15 4.5 1
18 4.5 1
20 4.5 1
27 4.5 1
36 4.5 1
40 4.5 1
1 4.6 0
2 4.6 0
4 4.6 0
12 4.6 1
13 4.6 1
14 4.6 1
21 4.6 1
24 4.6 1
32 4.6 1
37 4.6 1
39 4.6 1
5 4.7 0
16 4.7 1
28 4.7 1
29 4.7 1
30 4.7 1
42 4.7 1
9 4.8 0
10 4.8 0
25 4.8 1
26 4.8 1
35 4.8 1
43 4.8 1
48 4.8 1
49 4.8 1
3 4.9 0
8 4.9 0
23 4.9 1
31 4.9 1
33 4.9 1
34 4.9 1
38 4.9 1
44 4.9 1
45 4.9 1
47 4.9 1
50 4.9 1
6 5.0 0
7 5.0 0
11 5.0 1
15 5.0 1
20 5.0 1
22 5.0 1
27 5.0 1
41 5.0 1
1 5.1 0
4 5.1 0
17 5.1 1
21 5.1 1
24 5.1 1
36 5.1 1
39 5.1 1
40 5.1 1
2 5.2 0
12 5.2 1
14 5.2 1
18 5.2 1
19 5.2 1
29 5.2 1
32 5.2 1
37 5.2 1
46 5.2 1
9 5.3 0
16 5.3 1
26 5.3 1
30 5.3 1
43 5.3 1
5 5.4 0
10 5.4 0
13 5.4 1
23 5.4 1
25 5.4 1
28 5.4 1
35 5.4 1
42 5.4 1
44 5.4 1
47 5.4 1
48 5.4 1
50 5.4 1
6 5.5 0
8 5.5 0
15 5.5 1
27 5.5 1
38 5.5 1
45 5.5 1
1 5.6 0
3 5.6 0
20 5.6 1
21 5.6 1
22 5.6 1
29 5.6 1
31 5.6 1
33 5.6 1
34 5.6 1
39 5.6 1
2 5.7 0
4 5.7 0
9 5.7 0
24 5.7 1
36 5.7 1
40 5.7 1
41 5.7 1
49 5.7 1
12 5.8 1
14 5.8 1
26 5.8 1
32 5.8 1
37 5.8 1
10 5.9 0
16 5.9 1
17 5.9 1
18 5.9 1
30 5.9 1
43 5.9 1
44 5.9 1
8 6.0 0
11 6.0 1
15 6.0 1
19 6.0 1
23 6.0 1
25 6.0 1
27 6.0 1
28 6.0 1
42 6.0 1
46 6.0 1
47 6.0 1
48 6.0 1
50 6.0 1
5 6.1 0
6 6.1 0
7 6.1 0
21 6.1 1
29 6.1 1
35 6.1 1
38 6.1 1
39 6.1 1
1 6.2 0
2 6.2 0
4 6.2 0
9 6.2 0
20 6.2 1
26 6.2 1
31 6.2 1
33 6.2 1
34 6.2 1
45 6.2 1
13 6.3 1
22 6.3 1
24 6.3 1
36 6.3 1
40 6.3 1
41 6.3 1
3 6.4 0
12 6.4 1
14 6.4 1
32 6.4 1
37 6.4 1
43 6.4 1
44 6.4 1
10 6.5 0
16 6.5 1
18 6.5 1
27 6.5 1
30 6.5 1
47 6.5 1
50 6.5 1
6 6.6 0
8 6.6 0
9 6.6 0
15 6.6 1
25 6.6 1
28 6.6 1
29 6.6 1
39 6.6 1
42 6.6 1
48 6.6 1
49 6.6 1
1 6.7 0
2 6.7 0
4 6.7 0
17 6.7 1
21 6.7 1
23 6.7 1
26 6.7 1
35 6.7 1
5 6.8 0
19 6.8 1
20 6.8 1
36 6.8 1
38 6.8 1
45 6.8 1
46 6.8 1
11 6.9 1
22 6.9 1
24 6.9 1
31 6.9 1
33 6.9 1
34 6.9 1
40 6.9 1
44 6.9 1
10 7.0 0
12 7.0 1
14 7.0 1
27 7.0 1
32 7.0 1
41 7.0 1
43 7.0 1
3 7.1 0
6 7.1 0
9 7.1 0
13 7.1 1
15 7.1 1
16 7.1 1
29 7.1 1
37 7.1 1
47 7.1 1
50 7.1 1
1 7.2 0
4 7.2 0
8 7.2 0
18 7.2 1
21 7.2 1
26 7.2 1
28 7.2 1
30 7.2 1
39 7.2 1
42 7.2 1
2 7.3 0
7 7.3 0
25 7.3 1
35 7.3 1
48 7.3 1
20 7.4 1
23 7.4 1
36 7.4 1
38 7.4 1
40 7.4 1
44 7.4 1
5 7.5 0
9 7.5 0
17 7.5 1
27 7.5 1
29 7.5 1
31 7.5 1
33 7.5 1
34 7.5 1
43 7.5 1
45 7.5 1
49 7.5 1
6 7.6 0
10 7.6 0
12 7.6 1
14 7.6 1
15 7.6 1
19 7.6 1
22 7.6 1
32 7.6 1
46 7.6 1
50 7.6 1
1 7.7 0
8 7.7 0
16 7.7 1
21 7.7 1
24 7.7 1
26 7.7 1
37 7.7 1
39 7.7 1
41 7.7 1
47 7.7 1
2 7.8 0
3 7.8 0
4 7.8 0
11 7.8 1
28 7.8 1
30 7.8 1
13 7.9 1
18 7.9 1
20 7.9 1
25 7.9 1
42 7.9 1
44 7.9 1
48 7.9 1
9 8.0 0
23 8.0 1
27 8.0 1
29 8.0 1
35 8.0 1
36 8.0 1
40 8.0 1
6 8.1 0
10 8.1 0
15 8.1 1
38 8.1 1
43 8.1 1
45 8.1 1
1 8.2 0
5 8.2 0
12 8.2 1
14 8.2 1
21 8.2 1
22 8.2 1
26 8.2 1
31 8.2 1
32 8.2 1
33 8.2 1
34 8.2 1
39 8.2 1
47 8.2 1
50 8.2 1
2 8.3 0
4 8.3 0
8 8.3 0
17 8.3 1
37 8.3 1
41 8.3 1
49 8.3 1
7 8.4 0
9 8.4 0
16 8.4 1
19 8.4 1
24 8.4 1
30 8.4 1
44 8.4 1
46 8.4 1
20 8.5 1
25 8.5 1
27 8.5 1
28 8.5 1
29 8.5 1
42 8.5 1
48 8.5 1
3 8.6 0
6 8.6 0
15 8.6 1
18 8.6 1
35 8.6 1
36 8.6 1
40 8.6 1
43 8.6 1
10 8.7 0
21 8.7 1
23 8.7 1
26 8.7 1
38 8.7 1
39 8.7 1
45 8.7 1
50 8.7 1
1 8.8 0
4 8.8 0
8 8.8 0
9 8.8 0
11 8.8 1
12 8.8 1
